measure_date,best_before,taste,buyer,silver
2019-03-06,2019-08-01,0,A,0
2019-03-06,2019-08-01,0,A,0
2019-03-07,2019-08-01,0,A,0
2019-03-07,2019-08-01,0,A,0
2019-03-07,2019-08-01,0,A,0
2019-03-07,2019-08-01,0,A,0
2019-03-10,2019-08-01,0,A,0
2019-03-10,2019-08-01,0,A,0
2019-03-10,2019-08-01,0,A,0
2019-03-10,2019-08-01,0,A,0
2019-03-18,2019-10-01,0,C,0
2019-03-18,2019-10-01,0,C,0
2019-03-18,2019-09-01,0,C,0
2019-03-18,2019-09-01,0,C,0
2019-03-24,2019-08-01,0,A,0
2019-03-24,2019-08-01,0,A,0
2019-03-24,2019-08-01,0,A,0
2019-03-24,2019-08-01,0,A,0
2019-03-26,2019-08-01,0,A,0
2019-03-26,2019-08-01,0,A,0
2019-03-26,2019-08-01,0,A,0
2019-03-26,2019-08-01,0,A,0
2019-03-27,2019-11-01,12,A,0
2019-03-27,2019-11-01,12,A,0
2019-04-01,2019-11-01,12,A,0
2019-04-01,2019-11-01,12,A,0
2019-04-04,2019-11-01,12,A,0
2019-04-04,2019-11-01,12,A,0
2019-04-04,2019-11-01,12,A,0
2019-04-04,2019-11-01,12,A,0
2019-04-08,2019-11-01,12,A,0
2019-04-08,2019-11-01,12,A,0
2019-04-08,2019-11-01,12,A,1
2019-04-08,2019-11-01,12,A,0
2019-04-17,2019-11-01,12,A,0
2019-04-17,2019-11-01,12,A,0
2019-04-17,2019-11-01,12,A,0
2019-04-17,2019-11-01,12,A,0
2019-04-18,2019-11-01,12,A,0
2019-04-18,2019-11-01,12,A,0
2019-04-18,2019-11-01,12,A,0
2019-04-18,2019-11-01,12,A,0
2019-04-22,2019-10-01,0,C,0
2019-04-22,2019-10-01,0,C,0
2019-04-23,2019-11-01,0,C,0
2019-04-23,2019-11-01,0,C,0
2019-04-25,2019-09-01,0,B,0
2019-04-25,2019-10-01,0,C,0
2019-04-25,2019-10-01,0,C,0
2019-05-14,2020-03-01,14,A,0
2019-05-14,2020-03-01,14,A,0
2019-05-14,2020-03-01,14,A,0
2019-05-14,2020-03-01,14,A,0
2019-05-15,2019-11-01,0,C,0
2019-05-15,2019-11-01,0,C,0
2019-05-19,2019-12-01,0,A,0
2019-05-19,2019-12-01,0,A,0
2019-05-29,2019-11-01,0,C,0
2019-05-29,2019-11-01,0,C,0
2019-06-10,2019-12-01,0,A,0
2019-06-10,2019-12-01,0,A,0
2019-06-13,2019-12-01,0,C,0
2019-06-13,2019-12-01,0,C,0
2019-06-14,2019-12-01,0,C,0
2019-06-14,2019-12-01,0,C,0
2019-08-01,2019-11-01,0,A,0
2019-08-01,2020-02-01,0,A,0
2019-08-05,2020-02-01,0,A,0
2019-08-05,2020-02-01,0,A,1
2019-08-07,2020-02-01,0,B,0
2019-08-07,2020-02-01,0,B,0
2019-08-08,2020-02-01,0,C,0
2019-08-08,2020-02-01,0,C,1
2019-08-08,2020-02-01,0,C,0
2019-08-08,2020-02-01,0,C,0
2019-08-19,2020-05-01,15,A,0
2019-08-19,2020-05-01,15,A,0
2019-08-19,2020-05-01,15,A,0
2019-08-19,2020-05-01,15,A,0
2019-08-22,2020-05-01,15,C,0
2019-08-22,2020-05-01,15,C,0
2019-08-27,2020-02-01,0,C,0
2019-08-27,2020-02-01,0,C,0
2019-08-28,2020-02-01,0,A,0
2019-09-04,2020-02-01,0,A,1
2019-09-04,2020-02-01,0,A,0
2019-09-05,2020-02-01,0,A,0
2019-09-05,2020-02-01,0,A,0
2019-09-09,2020-02-01,0,A,0
2019-09-09,2020-02-01,0,A,0
2019-09-18,2020-02-01,0,A,0
2019-09-18,2020-02-01,0,A,0
2019-09-26,2020-03-01,0,A,0
2019-09-26,2020-03-01,0,A,0
2019-09-30,2020-04-01,0,A,0
2019-09-30,2020-04-01,0,A,0
2019-09-30,2020-04-01,1,A,0
2019-09-30,2020-04-01,1,A,0
2019-10-01,2020-05-01,1,A,0
2019-10-01,2020-05-01,1,A,1
2019-10-02,2020-05-01,1,A,0
2019-10-02,2020-05-01,1,A,0
2019-10-07,2020-03-01,0,A,0
2019-10-07,2020-03-01,0,A,0
2019-10-07,2020-03-01,0,A,0
2019-10-07,2020-03-01,0,A,0
2019-10-10,2020-03-01,0,A,1
2019-10-10,2020-03-01,0,A,0
2019-10-10,2020-03-01,0,A,0
2019-10-10,2020-03-01,0,A,0
2019-10-15,2020-05-01,1,A,0
2019-10-15,2020-05-01,1,A,0
2019-10-15,2020-05-01,1,A,0
2019-10-15,2020-05-01,1,A,0
2019-10-17,2020-05-01,1,A,0
2019-10-17,2020-05-01,1,A,0
2019-10-23,2020-03-01,0,A,0
2019-10-23,2020-03-01,0,A,0
2019-10-24,2020-03-01,0,A,0
2019-10-24,2020-03-01,0,A,1
2019-10-24,2020-03-01,0,A,0
2019-10-24,2020-03-01,0,A,0
2019-10-25,2020-05-01,1,A,0
2019-10-25,2020-05-01,1,A,0
2019-10-28,2020-05-01,1,A,0
2019-10-28,2020-05-01,1,A,0
2019-10-31,2020-05-01,1,A,0
2019-10-31,2020-05-01,1,A,0
2019-10-31,2020-05-01,1,A,0
2019-11-07,2020-05-01,1,A,0
2019-11-07,2020-05-01,1,A,0
2019-11-07,2020-05-01,1,A,0
2019-11-08,2020-03-01,0,A,0
2019-11-08,2020-03-01,0,A,0
2019-11-12,2020-03-01,0,A,0
2019-11-12,2020-03-01,0,A,0
2019-11-13,2020-03-01,0,A,0
2019-11-13,2020-03-01,0,A,0
2019-11-18,2020-05-01,0,A,0
2019-11-18,2020-05-01,0,A,0
2019-11-20,2020-05-01,0,A,0
2019-11-20,2020-05-01,0,A,0
2019-11-21,2020-09-01,16,A,0
2019-11-21,2020-09-01,16,A,1
2019-11-21,2020-09-01,16,A,0
2019-12-05,2020-05-01,0,A,0
2019-12-05,2020-05-01,0,A,0
2019-12-05,2020-05-01,0,A,0
2019-12-05,2020-05-01,0,A,0
2019-12-05,2020-05-01,0,A,0
2019-12-12,2020-09-01,17,A,0
2019-12-12,2020-09-01,17,A,0
2019-12-12,2020-09-01,17,A,0
2019-12-12,2020-09-01,17,A,0
